recipe_id,ingredients
214,"[924, 1414, 1613, 2196, 2222, 2797, 3334, 3334, 3567]"
215,"[71, 76, 1286, 2019, 2196, 3567]"
216,"[1286, 2196, 3334, 3567, 3649]"
217,"[792, 1402, 2019]"
218,"[30, 34, 351, 374, 614, 770, 1684, 2948]"
219,"[1137, 1373, 2960, 3338, 3338, 3567, 3595]"
220,"[792, 2047, 2048, 2328, 3357, 3586, 3595]"
221,"[1363, 1684, 1685, 2019, 3334, 3567, 3582]"
222,"[1530, 2196, 2460, 3334, 3567, 3649]"
223,"[2035, 3649]"
224,"[1604, 1684, 1696, 2457, 2537, 2915, 3640]"
225,"[12, 125, 889, 1267, 1351, 1373, 1684, 1684, 2019, 3021, 3021, 3334, 3334]"
226,"[12, 125, 363, 738, 1267, 2253, 2426, 3021, 3118, 3334, 3334, 3595]"
227,"[34, 889, 2417, 3595]"
228,"[34, 494, 612, 889, 3334]"
229,"[60, 898, 1684, 2796, 3567, 3595, 3649]"
230,"[34, 35, 1043, 2417, 3334, 3595, 3757]"
231,"[126, 882, 1746, 2472, 3021, 3334, 3649]"
232,"[30, 56, 125, 374, 778, 792, 1671, 1684, 1685, 2253, 2647, 3021, 3118, 3334]"
233,"[3334, 3595]"
234,"[35, 74, 78, 889, 1696, 3021]"
235,"[889, 2019, 3334, 3437]"
236,"[889, 924, 1495, 1696, 3334, 3649]"
237,"[12, 125, 1267, 2219, 2426, 2432, 2788, 3021, 3118]"
238,"[30, 126, 351, 374, 768, 2472, 3021, 3334, 3595, 3618, 3759]"
239,"[882, 1615, 2019, 3334, 3649]"
240,"[374, 889, 2577, 3021, 3334, 3649]"
241,"[60, 60, 324, 3334]"
242,"[374, 738, 1267, 2204, 3334, 3334]"
243,"[126, 936, 1267, 2043, 2220, 2775, 3021, 3595, 3640]"
244,"[12, 738, 2220, 2298, 2428, 3021, 3334]"
245,"[2019, 3334, 3595, 3649]"
246,"[60, 61, 125, 550, 1684, 2454, 3021, 3334, 3334, 3558, 3595, 3759]"
247,"[125, 126, 363, 738, 2327, 2428, 2459, 3021, 3334, 3334, 3595, 3759]"
248,"[351, 363, 792, 1267, 1351, 1803, 2327, 2432, 3021, 3334, 3595, 3649, 3792]"
249,"[351, 374, 770, 802, 1267, 1376, 2284, 2577, 2948]"
250,"[1267, 1351, 3334]"
251,"[125, 1267, 2219, 2426, 3021, 3074, 3118, 3334, 3595]"
252,"[126, 2046, 2220, 2472, 3021, 3334, 3595]"
253,"[841, 2342, 2417, 3334, 3595]"
254,"[35, 351, 489, 738, 740, 2220, 2410, 2428]"
255,"[126, 374, 782, 1267, 3021, 3334, 3586, 3595, 3703]"
256,"[12, 374, 792, 995, 1267, 3586, 3595]"
257,"[2454, 2459, 3334]"
258,"[351, 351, 802, 1373, 1684, 2220, 2903, 3640, 3759]"
259,"[374, 708, 1363, 1513, 2196, 2454, 2459, 3338, 3567]"
260,"[12, 125, 351, 374, 399, 1267, 3334, 3586, 3649]"
261,"[1553, 2417, 2978, 3595]"
262,"[30, 1178, 1440, 1612, 2019, 2048, 2092, 2141, 3334, 3595, 4289]"
263,"[386, 1351, 2019, 3021, 3334, 3595]"
264,"[60, 2454, 2459, 3334]"
265,"[125, 351, 363, 363, 738, 1267, 2327, 2552, 3021, 3334]"
266,"[12, 351, 374, 841, 1043, 1684, 1696, 3021, 3334, 3595]"
267,"[351, 998, 998, 3570, 3586, 3595]"
268,"[60, 125, 399, 1042, 1267, 2579, 2976, 3021, 3334, 3595]"
269,"[125, 351, 1780, 2417, 3357, 3595, 3759]"
270,"[363, 792, 3584, 3595, 4288]"
271,"[374, 768, 792, 2327, 2653, 2654, 3021, 3595]"
272,"[60, 1351, 1684, 1696, 2253, 2417, 2788, 3334, 3595, 3757]"
273,"[770, 2426, 3582]"
274,"[738, 752, 758, 1350, 3334, 3649]"
275,"[758, 1155, 1351, 1356, 1414, 2189, 2459, 3649]"
276,"[391, 1388, 2653, 3334]"
277,"[12, 351, 374, 560, 889, 1298, 1696, 2454, 2459, 2627, 3090]"
278,"[363, 1199, 2298, 3021, 3334, 3595]"
279,"[1350, 2259, 3334, 3649]"
280,"[76, 3334, 3595, 3649]"
281,"[125, 363, 738, 1200, 1413, 1685, 1690, 2060, 3334, 3595, 3769]"
282,"[1351, 1363, 1684, 3334, 3649]"
283,"[60, 1780, 2019, 2196, 3595, 3649]"
284,"[60, 1351, 1690]"
285,"[125, 363, 738, 889, 1267, 1305, 2327, 3021, 3334]"
286,"[3334, 3649, 3820]"
287,"[841, 2417, 3338, 3595, 3672]"
288,"[1, 12, 709, 1388, 3334, 3567, 3595]"
289,"[125, 126, 403, 1267, 1684, 1696, 2260, 3021, 3334, 3595, 3618, 3640, 3665]"
290,"[60, 2077, 3334]"
291,"[1536, 3334, 3649]"
292,"[125, 351, 1305, 2220, 2788, 2948, 3021, 3334, 3595, 3759]"
293,"[30, 35, 69, 126, 1042, 1671, 3118, 3334, 3759]"
294,"[782, 2196, 2845, 3334, 3567, 3595]"
295,"[2019, 2454, 2880, 3021, 3334, 3567, 3672]"
296,"[889, 1351, 2019, 2196, 2417, 2555, 3334]"
297,"[924, 1297, 1298, 1440, 3021, 3334, 3598]"
298,"[78, 1200, 1286, 1810, 2196, 2947, 3334, 3567, 3595]"
299,"[351, 738, 802, 1298, 2220, 2558, 2903, 3640, 3759]"
300,"[351, 408, 2019, 2259, 3684]"
301,"[12, 924, 1643, 2071, 2073, 2454, 3334, 3334, 3567, 3649]"
302,"[1786, 2259, 2456, 3334, 3649, 3657]"
303,"[125, 126, 249, 1004, 1267, 2219, 2426, 3021, 3759]"
304,"[889, 1373, 1696, 2454, 2459, 3021, 3334, 3649]"
305,"[12, 316, 387, 2019, 2048, 3322, 3334, 3567, 3649]"
307,"[125, 374, 738, 770, 792, 1267, 1373, 2019, 3021, 3334, 3595]"
308,"[60, 927, 3334]"
309,"[611, 770, 949, 1594, 2426, 3334, 3418]"
310,"[126, 386, 406, 1267, 2788, 2948, 3021, 3334, 3618]"
311,"[30, 351, 351, 374, 1373, 1402, 1684, 1684, 2775]"
312,"[12, 326, 363, 1373, 3334]"
416,"[399, 1546, 2454]"
417,"[2071, 3334, 3649]"
418,"[2253, 3334, 3649]"
419,"[141, 353, 718, 2224]"
420,"[203, 590, 956, 1648, 2726, 3021, 3334, 3480, 3636, 3649]"
421,"[219, 370, 629, 1200, 2449, 3649]"
422,"[758, 782, 916, 2453, 2552, 3334, 3636]"
423,"[390, 1135, 1520, 2130, 2196, 2788]"
424,"[219, 585, 718, 2220, 3021]"
425,"[351, 889, 2978, 3649]"
426,"[718, 967, 1086, 1135, 1573, 2019, 2288, 2653, 2991, 3298]"
427,"[1780, 1798, 2019, 2196, 3090]"
428,"[638, 1334, 1367, 1648, 2270, 3283, 3334]"
429,"[35, 638, 889, 1485, 1814, 2562, 2630, 3283, 3636]"
430,"[386, 1440, 1684, 2019, 2454, 2776, 3334, 3813]"
431,"[841, 1323, 1339, 1434, 2019, 3021, 3618, 3703]"
432,"[142, 219, 1333, 2521, 2653, 3340, 3480]"
433,[987]
434,"[1780, 2220, 2454, 2459, 2577, 3107]"
435,"[967, 1436, 2094, 2288]"
436,"[967, 1573, 1648, 2881, 3021, 3334, 3480, 4502]"
437,"[35, 390, 505, 585, 2194, 2642, 3072, 3338]"
438,"[211, 580, 638, 733, 848, 1352, 1356, 1492, 2288, 3021, 3618]"
439,"[219, 1086, 1573, 2130, 2196, 3021]"
440,"[203, 219, 967, 2070, 2282, 3021, 3480, 3636, 3649, 3649]"
441,"[585, 704, 1788, 2196, 2282, 2286, 2384]"
442,"[89, 841, 1367, 1648, 1714, 2287, 2523, 3703]"
443,"[219, 1029, 1350, 2220, 2282, 2298, 2518, 3021, 4289]"
444,"[1351, 2442, 2523, 3220]"
445,"[638, 1222, 1573, 2282, 2286, 2459, 2518, 3461, 3480, 3618]"
446,"[35, 388, 487, 2217, 2220, 2760]"
447,"[1292, 1492, 2442, 3110, 3640]"
449,"[1052, 1066, 2788, 3334, 3413, 3649]"
450,"[397, 1780, 2802]"
451,"[61, 1684, 1696, 1780, 2196, 2394, 2788, 3598]"
452,"[980, 1577, 2019, 2130, 2196, 3334]"
453,"[203, 1292, 1360, 1839, 2287, 2442, 3110, 3731]"
454,"[1267, 1367, 1497, 2019, 2518]"
455,"[113, 363, 603, 2196, 3486]"
456,"[34, 227, 241, 2194, 2796, 3322]"
457,"[590, 718, 732, 755, 940, 1577, 2282, 2442, 2537, 3298, 3334, 4289]"
458,"[1032, 1524, 2127, 2196]"
459,"[338, 578, 1025, 1339, 1648, 2196, 2786, 2872, 3021]"
460,"[35, 374, 802, 1505, 2282, 2287, 3415]"
461,"[399, 1806, 2454, 4289]"
463,"[1155, 1339, 1573, 1860, 2282, 3021, 3480, 3618]"
464,"[374, 1032, 1339, 2019, 3021]"
465,"[327, 1490, 2282, 2523, 3021, 3384]"
466,"[1225, 1339, 1490, 2523]"
467,"[60, 585, 2253, 2853, 3567, 3649]"
468,"[57, 550, 660, 733, 2417, 3479]"
469,"[338, 718, 1798, 2442, 2454, 3703, 4295]"
470,"[732, 2277, 3334, 3649, 3722]"
471,"[1363, 2019, 3322, 3334, 3640, 3649]"
472,"[580, 770, 1363, 1644, 1780, 2019, 2400, 2454, 2459, 3021]"
473,"[351, 363, 2298]"
474,"[770, 1004, 1546, 2642, 2976]"
475,"[126, 363, 386, 877, 1267, 3021, 3334]"
476,"[363, 1339, 3021]"
477,"[580, 585, 718, 2158, 2288, 3021, 3772]"
478,"[30, 483, 1488, 1577, 1707, 2220, 2282, 2417, 3415]"
479,"[253, 2019, 2038, 2129, 3090, 3334]"
480,"[70, 374, 585, 638, 718, 802, 1705, 2282, 2634, 3068, 3460, 3640]"
481,"[219, 718, 1025, 1443, 1648, 2442, 3649, 3703]"
482,"[718, 1393, 2460, 3290, 3570]"
483,"[351, 1363, 1806, 2196, 3595]"
484,"[1137, 1267, 1360, 2446, 2528, 3107, 3618, 3649]"
485,"[142, 236, 1648, 2417, 2961, 4289]"
486,"[12, 24, 1267, 2220, 3021, 3334, 3649, 3775]"
487,"[420, 617, 1339, 1367, 1648, 2019, 2658, 3334, 3415, 3460, 3618]"
488,"[142, 203, 219, 1182, 1367, 2287, 2304, 2306, 2442, 3039, 3309, 3460, 3480]"
489,"[499, 1696, 1780, 2196]"
490,"[127, 1025, 2288, 2454]"
492,"[1086, 1367, 1636, 2124, 2270, 2302, 3618, 3649, 3704]"
493,"[1529, 2196, 3334]"
494,"[134, 629, 1108, 2286, 3649]"
495,"[1440, 1512, 2259, 2653, 3067, 3334]"
496,"[3334, 3649, 3704, 3807]"
497,"[351, 889, 1684, 2220, 2253, 2260, 2306]"
499,"[1786, 2194, 3334]"
500,"[166, 947, 1339, 1573, 2106, 3021, 3334, 3480, 3618]"
501,"[1440, 3334, 3595, 4289]"
502,"[203, 559, 585, 1577, 2282, 2305, 2306, 3649]"
503,[3649]
504,"[732, 2349, 3021, 3334]"
505,"[1350, 1357, 1434, 2220, 3334]"
506,"[363, 779, 1443, 3093]"
507,"[876, 2220, 3103]"
508,"[802, 1367, 1648, 3618]"
509,"[249, 782, 949, 2019, 2020, 2453, 3322, 3567, 3649]"
510,"[1042, 2220, 2260, 3334, 3649]"
511,"[219, 2019, 2130, 2630, 3021]"
512,"[219, 610, 1671, 2298]"
513,[363]
514,"[802, 1648, 2253, 2260, 3021, 3068, 3090, 3618]"
515,"[86, 718, 1339, 1350, 1577, 1619, 2152, 2282, 3021]"
516,"[259, 351, 1350, 1684, 1700, 2260, 2282, 2660, 3021, 3618, 3649]"
517,"[189, 413, 889, 958, 1087, 1651, 1688, 2282, 3021, 3618, 3649]"
518,"[180, 1147, 1573, 2129, 3618]"
519,"[180, 1087, 2442]"
520,"[166, 528, 1088, 1098, 1141, 1350, 1700, 2442, 2478, 3021]"
521,"[470, 1074, 1088, 1155, 1579, 1692, 2031]"
522,"[363, 380, 889, 1135, 1334, 2019, 2454, 2457]"
523,"[203, 1579, 2066, 2282, 2591, 2738, 2902, 3316, 3649, 4228]"
524,"[273, 448, 485, 516, 1151, 1657, 2435, 2902]"
